srcStateName,Year,Crime head IPC ( Indian Penal Code ) Category,Crime head IPC ( Indian Penal Code ) Sub-category,Incidence of IPC ( Indian Penal Code ) crimes,Victims of IPC ( Indian Penal Code ) crimes,IPC ( Indian Penal Code ) Crime Rate
A&N Islands,2018,Offences affecting the Human Body,"Hurt |Simple Hurt |E) Other Simple Hurt (Sec.327, 328, 330 & 334)",0,0,0
A&N Islands,2018,Offences affecting the Human Body,Hurt |Simple Hurt |Simple Hurt (Total),49,52,12.4
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction of Women to compel her for marriage (Sec.366 IPC),2,2,1.05263157894737
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Importation of Girls from Foreign Country (Sec.366-B IPC),0,0,0
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) | Kidnapping and Abduction (Sec.363 IPC),33,34,8.3
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) |A) Missing Children Deemed as Kidnapped,14,14,10
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Sec.363 IPC) |B) Other Kidnapping & Abduction,19,20,4.8
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction (Total),37,38,9.3
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction for the Purpose of Begging (Sec.363 A),0,0,0
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping and Abduction in order to Murder (Sec.364 IPC),0,0,0
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Kidnapping for Ransom (Sec.364A IPC),0,0,0
A&N Islands,2018,Offences affecting the Human Body,"Kidnapping and Abduction |Other Kidnapping & Abduction (Sec.365, 367, 368, 369)",2,2,0.5
A&N Islands,2018,Offences affecting the Human Body,Kidnapping and Abduction |Procuration of Minor Girls (Sec.366A),0,0,0
A&N Islands,2018,Offences affecting the Human Body,"Miscarriage, Infanticide, Foeticide and Abandonment (Sec.313 to 318 IPC)",1,1,0.526315789473684
A&N Islands,2018,Offences affecting the Human Body,Murder (Sec.302 IPC),11,12,2.8
A&N Islands,2018,Offences affecting the Human Body,Offences Affecting the Human Body (Total),254,308,64.1
A&N Islands,2018,Offences affecting the Human Body,Rape (Sec.376 IPC),30,30,15.7894736842105
A&N Islands,2018,Offences affecting the Human Body,Selling of Minors for Prostitution (Sec.372 IPC),0,0,0
A&N Islands,2018,Offences affecting the Human Body,Unnatural Offences (Sec.377 IPC),1,1,0.3
A&N Islands,2018,Offences affecting the Human Body,Wrongful Restraint/Confinement (Sec.341 to 348 IPC),6,6,1.5
A&N Islands,2018,Offences against Property,Attempt to Commit Dacoity/Robbery (Sec.393 & 398 IPC),1,1,0.3
A&N Islands,2018,Offences against Property,Burglary (Sec.454 to 460 r/w Sec.380 IPC) |A) Day Time,31,31,7.8
A&N Islands,2018,Offences against Property,Burglary (Sec.454 to 460 r/w Sec.380 IPC) |B) Night,31,31,7.8
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Offences relating to Religion (Sec.295 to 297),27,34,0.1
A&N Islands,2018,Offences against Property,Burglary (Sec.454 to 460 r/w Sec.380 IPC) |Burglary (Total),62,62,15.7
A&N Islands,2018,Offences against Property,Criminal Breach of Trust (Sec.406 to 409 IPC),5,5,1.3
A&N Islands,2018,Offences against Property,Criminal Misappropriation (Sec.403/404 r/w Other IPC),0,0,0
A&N Islands,2018,Offences against Property,Dacoity |A) Dacoity (Sec.395/397 IPC),4,6,1
A&N Islands,2018,Offences against Property,Dacoity |B) Dacoity with Murder (Sec.396 IPC),0,0,0
A&N Islands,2018,Offences against Property,Dacoity |Dacoity (Total),4,6,1
A&N Islands,2018,Offences against Property,Dishonestly Receiving/Dealing-in Stolen Property (Sec.411 to 414 IPC),0,0,0
A&N Islands,2018,Offences against Property,Extortion & Blackmailing (Sec.384 to 389 IPC),0,0,0
A&N Islands,2018,Offences against Property,Making Preparation and Assembly for committing Dacoity (Sec.399 & 402 IPC),0,0,0
A&N Islands,2018,Offences against Property,Offences against Property (Total),143,145,36.1
A&N Islands,2018,Offences against Property,Robbery (Sec.392/394/397 IPC),2,2,0.5
A&N Islands,2018,Offences against Property,Theft (Section 379 IPC) |A) Auto/Motor Vehicle Theft,16,16,4
A&N Islands,2018,Offences against Property,Theft (Section 379 IPC) |B) Other Thefts,53,53,13.25
A&N Islands,2018,Offences against Property,Theft (Section 379 IPC) |Theft (Total),69,69,17.4
A&N Islands,2018,Offences against Public Tranquillity,Affray (Sec.159 & 160 IPC),0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Offences against Public Tranquillity (Total),8,14,2
A&N Islands,2018,Offences against Public Tranquillity,Offences promoting enmity between different groups |A) Promoting enmity between groups (Sec.153A & 153B IPC),1,1,0.3
A&N Islands,2018,Offences against Public Tranquillity,"Offences promoting enmity between different groups |B) Imputation, assertions prejudicial to national integration (Sec.153 B IPC)",0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Offences promoting enmity between different groups |Offences promoting enmity between different groups (Total),1,1,0.3
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |A) Communal/Religious,0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |B) Sectarian,0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |C) Industrial,0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |D) Political,0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |E) Caste Conflict,0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |F) Agrarian,0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |G) Students,0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |H) Vigilants,0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |I) Money Dispute,0,0,0
